Setting,Address,Current,Min,Max,Special Notes
,200100,00,,,
,200101,00,,,
,200102,00,,,
,200103,3d,,,
,200104,00,,,
,200105,40,,,
,200106,00,,,
,200107,10,,,
,200108,00,,,
,200109,52,,,
,20010a,00,,,
,20010b,29,,,
,20010c,01,,,
,20010d,0c,,,
,20010e,00,,,
,20010f,20,,,
,200110,00,,,
,200111,5d,,,
,200112,00,,,
,200113,5f,,,
,200114,01,,,
,200115,0c,,,
,200116,01,,,
,200117,01,,,
,200118,01,,,
,200119,01,,,
,20011a,03,,,
,200200,00,,,
,200201,00,,,
,200202,00,,,
,200203,34,,,
,200204,01,,,
,200205,08,,,
,200206,00,,,
,200207,3b,,,
,200208,00,,,
,200209,44,,,
,20020a,00,,,
,20020b,1b,,,
,20020c,00,,,
,20020d,7d,,,
,20020e,00,,,
,20020f,65,,,
,200210,00,,,
,200211,61,,,
,200212,00,,,
,200213,5f,,,
,200214,01,,,
,200215,15,,,
,200216,01,,,
,200217,01,,,
,200218,01,,,
,200219,01,,,
,20021a,03,,,
,200300,00,,,
,200301,01,,,
,200302,00,,,
,200303,5c,,,
,200304,02,,,
,200305,03,,,
,200306,00,,,
,200307,10,,,
,200308,00,,,
,200309,44,,,
,20030a,00,,,
,20030b,1b,,,
,20030c,00,,,
,20030d,7d,,,
,20030e,00,,,
,20030f,65,,,
,200310,00,,,
,200311,61,,,
,200312,00,,,
,200313,5f,,,
,200314,01,,,
,200315,15,,,
,200316,27,,,
,200317,25,,,
,200318,01,,,
,200319,01,,,
,20031a,03,,,
,200400,00,,,
,200401,03,,,
,200402,01,,,
,200403,2b,,,
,200404,01,,,
,200405,68,,,
,200406,00,,,
,200407,15,,,
,200408,00,,,
,200409,4d,,,
,20040a,00,,,
,20040b,5b,,,
,20040c,01,,,
,20040d,0c,,,
,20040e,00,,,
,20040f,0b,,,
,200410,00,,,
,200411,61,,,
,200412,00,,,
,200413,5f,,,
,200414,01,,,
,200415,15,,,
,200416,20,,,
,200417,21,,,
,200418,01,,,
,200419,01,,,
,20041a,03,,,
,200500,00,,,
,200501,00,,,
,200502,00,,,
,200503,25,,,
,200504,00,,,
,200505,5c,,,
,200506,00,,,
,200507,0b,,,
,200508,00,,,
,200509,20,,,
,20050a,00,,,
,20050b,29,,,
,20050c,00,,,
,20050d,52,,,
,20050e,01,,,
,20050f,0d,,,
,200510,01,,,
,200511,10,,,
,200512,01,,,
,200513,12,,,
,200514,01,,,
,200515,14,,,
,200516,01,,,
,200517,01,,,
,200518,01,,,
,200519,01,,,
,20051a,03,,,
,200600,00,,,
,200601,00,,,
,200602,00,,,
,200603,07,,,
,200604,01,,,
,200605,55,,,
,200606,00,,,
,200607,00,,,
,200608,00,,,
,200609,20,,,
,20060a,00,,,
,20060b,29,,,
,20060c,00,,,
,20060d,44,,,
,20060e,00,,,
,20060f,00,,,
,200610,00,,,
,200611,5d,,,
,200612,00,,,
,200613,5f,,,
,200614,01,,,
,200615,0f,,,
,200616,01,,,
,200617,01,,,
,200618,01,,,
,200619,01,,,
,20061a,03,,,
,200700,00,,,
,200701,00,,,
,200702,00,,,
,200703,07,,,
,200704,00,,,
,200705,6a,,,
,200706,00,,,
,200707,0b,,,
,200708,00,,,
,200709,20,,,
,20070a,00,,,
,20070b,29,,,
,20070c,00,,,
,20070d,7d,,,
,20070e,01,,,
,20070f,0c,,,
,200710,00,,,
,200711,61,,,
,200712,00,,,
,200713,5f,,,
,200714,01,,,
,200715,0d,,,
,200716,01,,,
,200717,01,,,
,200718,01,,,
,200719,01,,,
,20071a,02,,,
,201000,00,,,
,201001,7e,,,
,201002,00,,,
,201003,15,,,
,201004,05,,,
,201005,6a,,,
,201006,03,,,
,201007,61,,,
,201008,00,,,
,201009,20,,,
,20100a,00,,,
,20100b,00,,,
,20100c,00,,,
,20100d,1f,,,
,20100e,00,,,
,20100f,00,,,
,201010,00,,,
,201011,20,,,
,201012,00,,,
,201013,00,,,
,201014,00,,,
,201015,01,,,
,201016,00,,,
,201017,00,,,
,201018,00,,,
,201019,00,,,
,201100,01,,,
,201101,1b,,,
,201102,00,,,
,201103,21,,,
,201104,05,,,
,201105,28,,,
,201106,03,,,
,201107,2e,,,
,201108,00,,,
,201109,20,,,
,20110a,00,,,
,20110b,00,,,
,20110c,00,,,
,20110d,1f,,,
,20110e,00,,,
,20110f,00,,,
,201110,00,,,
,201111,20,,,
,201112,00,,,
,201113,00,,,
,201114,00,,,
,201115,01,,,
,201116,00,,,
,201117,00,,,
,201118,00,,,
,201119,00,,,
,202000,00,,,
,202001,60,,,
,202002,00,,,
,202003,5d,,,
,202004,00,,,
,202005,5b,,,
,202006,00,,,
,202007,5a,,,
,202008,00,,,
,202009,5c,,,
,20200a,00,,,
,20200b,5e,,,
,20200c,00,,,
,20200d,5f,,,
,20200e,00,,,
,20200f,60,,,
,202010,00,,,
,202100,00,,,
,202101,07,,,
,202102,00,,,
,202103,08,,,
,202104,00,,,
,202105,0b,,,
,202106,00,,,
,202107,0c,,,
,202108,00,,,
,202109,11,,,
,20210a,00,,,
,20210b,0f,,,
,20210c,00,,,
,20210d,10,,,
,20210e,00,,,
,20210f,12,,,
,202110,00,,,
,202200,00,,,
,202201,33,,,
,202202,00,,,
,202203,39,,,
,202204,00,,,
,202205,36,,,
,202206,00,,,
,202207,37,,,
,202208,00,,,
,202209,33,,,
,20220a,00,,,
,20220b,39,,,
,20220c,00,,,
,20220d,36,,,
,20220e,00,,,
,20220f,37,,,
,202210,02,,,
,202300,00,,,
,202301,59,,,
,202302,00,,,
,202303,4e,,,
,202304,00,,,
,202305,65,,,
,202306,00,,,
,202307,2e,,,
,202308,00,,,
,202309,1a,,,
,20230a,00,,,
,20230b,46,,,
,20230c,00,,,
,20230d,1a,,,
,20230e,00,,,
,20230f,59,,,
,202310,00,,,
,203000,03,,,
,203001,42,,,
,203002,01,,,
,203003,3b,,,
,203004,00,,,
,203005,28,,,
,203006,00,,,
